word,part_of_speech,translate
stream,v.,流;蜂擁而進
restrict,v.,約束;限制;限定
penetrate,v.,滲透入;穿過;識破;透過
darling,n.,心愛的人
cocoon,v.,使(自己)孤立;緊緊包住
campaign,n.,"運動,活動"
pier,n.,碼頭;防波堤
postage,n.,"郵資,郵費"
motivation,n.,刺激;推動
battle,n.,戰役;戰鬥
resort,v.,憑藉;訴諸
documentary,n.,紀錄片;記錄影片
cello,n.,大提琴
sponge,v.,(用海綿)揩拭;海綿般地吸收
crucial,adj.,決定性的;重要的
shop,n.,商店
tribe,n.,種族;部落
pharmacy,n.,藥房;製藥業
maple,n.,楓樹;槭樹
stapler,n.,釘書機
shape,n.,形狀
voter,n.,投票人;選舉人
ruby,adj.,紅寶石色的
slump,n.,不景氣;暴跌;消沈
contractor,n.,承包商;立契約者
whisper,n.,"傳聞,流言"
jump,n.,暴漲;跳躍
gain,n.,增加;收益;獲利;獲得
orchard,n.,果樹園;果樹林
lyric,n.,抒情作品;歌詞
flush,v.,湧;湧流;用水沖洗
farm,n.,農場
arrogant,adj.,傲慢的;自大的;趾高氣昂的
peril,v.,使有危險;危及
ironic,adj.,具有諷刺意味的;挖苦的
snare,v.,(用陷阱等)捕捉;誘...入圈套
boom,n.,景氣;暴漲;激增;隆隆聲
phone,v.,打電話
though,conj.,雖然
apprentice,v.,當學徒
chuckle,v.,咯咯地笑;暗自發笑
choice,n.,選擇
shortage,n.,"缺少,不足,匱乏"
tame,adj.,"經馴養的,馴服的"
flaw,n.,瑕疵;缺點;裂隙
keep,n.,"生活費,生計"
diagnosis,n.,診斷;診斷書;調查分析
vacancy,n.,空;空房;空白;空缺;空虛
dormitory,n.,學生宿舍
lately,adv.,"不久前;近來,最近"
diversion,n.,分散注意力;轉向;轉移
wheat,n.,小麥
scrap,v.,將...作為廢物;將...拆毀
successor,n.,繼任者;繼承人
grim,adj.,嚴厲的;恐怖的;憂鬱的;無情的
request,n.,"要求,請求"
guarantee,n.,保證;保證書
express,adj.,"快遞的,快運的;明確的"
socialist,n.,社會主義者
round,n.,"一輪,一回合,一場,一局;圓形物"
stake,v.,"把...押下打賭,拿...冒險"
dislike,v.,"不喜愛,厭惡"
horse,n.,馬
grow,v.,成長;種植
gray,v.,使成灰色(或灰白)
float,n.,木筏;漂游物
guerrilla,n.,游擊隊(員)
lame,adj.,站不住腳的;跛腳的
wildlife,n.,野生生物
chemist,n.,化學家
harness,v.,上挽具;套(馬);駕馭
brass,n.,黃銅
technical,adj.,"專門的,技術性的"
shed,v.,毛髮等脫落;流出;蛻(殼等)
cool,v.,使冷卻;使涼快
safe,adj.,安全的
whip,n.,抽打;拍擊
removal,n.,免職;除去
formidable,adj.,令人畏懼的;難對付的
fluent,adj.,"(語言)精通的;流利的;流利的,流暢的;流暢的"
hedge,n.,兩面下注;樹籬;界限
sensible,adj.,切合實際的;合理的;明智的;明顯的;有知覺的
beat,n.,心跳聲;拍子;敲打;敲擊聲;滴答聲
nap,n.,打盹兒
surrender,n.,"投降,自首"
eternal,adj.,永久的;永恆的
submit,v.,使服從;呈遞;屈服;提交;認輸
excess,adj.,超額的;過量的;額外的
hum,n.,嗡嗡聲
hijack,v.,劫持
amaze,v.,使大為驚奇
prohibition,n.,禁令;禁止
past,n.,"往事;經歷;過去,昔日;過去式"
steamer,n.,汽船;蒸籠;蒸鍋
elevator,n.,升降機;電梯
draft,v.,設計;起草
roam,v.,流浪;漫步;漫遊
reward,v.,獎勵;酬謝
deliberate,v.,仔細考慮;商議
toil,n.,勞累;苦工;辛苦
generation,n.,世代;產生
hesitation,n.,"躊躇,猶豫"
prosecute,v.,告發;對...起訴;檢控;起訴
windshield,n.,(汽車等的)擋風玻璃
tide,n.,潮水;潮汐
whenever,conj.,每當;無論什麼時候
guide,n.,嚮導
pollutant,adj.,受污染的;造成污染的
torture,n.,折磨;拷問;拷打;煎熬;痛苦;酷刑
beside,prep.,在...旁側
juvenile,n.,兒童讀物;幼體;青少年
exquisite,adj.,精緻的;精良的;精選的
enforcement,n.,執行;強制
script,n.,(戲劇、廣播等的)腳本;筆跡
union,n.,工會;結合
visit,n.,訪問
lens,n.,透鏡;鏡片
acquaint,v.,使熟悉;使認識
corner,n.,角落
vehicle,n.,傳播媒介;工具;車輛;飛行器
radiant,adj.,光芒四射的;容光煥發的;發熱的
vomit,n.,嘔吐;嘔吐物
foul,n.,(比賽中)犯規
antonym,n.,反義字;相反詞
herb,n.,草本植物;藥草
rhetoric,n.,修辭;修辭學;辭令
massage,n.,按摩(術);推拿
sheriff,n.,警長
go,v.,去;走
tact,n.,圓融;得體;技巧;機敏;機智;老練
inland,adj.,內地的;內陸的
number,v.,"編號,總數達到,共計"
flake,v.,使成薄片;像雪花般覆蓋
volcano,n.,火山
teenage,adj.,十幾歲的
dubious,adj.,半信半疑的;含糊的
scheme,v.,"策劃,密謀"
mastery,n.,掌握;支配;精通;統治
pact,n.,協定;契約
mind,n.,心智
conservative,n.,"保守者,守舊者"
cramp,v.,用夾鉗夾緊;約束;限制
ray,n.,光線;輻射線
devour,v.,吞沒;吞食;狼吞虎嚥地吃
bear,v.,承受
treat,n.,款待
solidarity,n.,團結一致
exclaim,v.,呼喊;大叫;驚叫
white,adj.,白色的
remainder,n.,其餘的人;剩餘物;餘數
graph,v.,用圖表表示
compliment,n.,問候;恭維;致意;讚美的話
superior,adj.,"優秀的,上等的"
visit,v.,訪問
delight,v.,使高興
hay,n.,(做飼料用的)乾草
e-mail,v.,傳送電子郵件
memorial,n.,紀念物;紀念碑
sophisticated,adj.,精密的;精通的;老於世故的
upset,adj.,"心煩的,苦惱的"
infer,v.,"推斷;推斷,推論;推論"
cram,v.,把...塞滿;死記硬背
of,prep.,…的，屬於
document,n.,文件;證件
distribution,n.,分發;分配
notion,n.,想法;打算;概念
liquid crystal display,n.,液晶顯示 (LCD)
transport,v.,"運送,運輸"
maintain,v.,保養;維持
enterprise,n.,"企業,公司"
in,prep.,在…之內
fiction,n.,小說
mate,v.,使交配
anchor,v.,主持電視新聞節目;拋錨;繫住
ground,n.,地面
sprawl,n.,伸開四肢的躺臥姿勢;蔓生
until,prep.,直到
trash,v.,丟棄;修剪(樹等)的枯枝殘葉
contemplation,n.,冥想;凝視;沈思
six,adj.,六的
conservation,n.,(對自然資源的)保護;保存
end,n.,盡頭;結局
contaminate,v.,弄髒;污染
beware,v.,提防;當心
invaluable,adj.,價值無法估量的;無價的;非常寶貴的;非常貴重的
freshman,n.,"一年級生,新生"
gut,v.,取出內臟;損毀(房屋等)的內部
stride,n.,步姿;闊步
minus,prep.,減（去）
intelligent,adj.,有才智的
bridegroom,n.,新郎
transcript,n.,成績報告單;抄本;謄本
ripple,v.,(頭髮等)呈波狀;起漣漪
rigid,adj.,嚴格的;堅硬的;死板的
form,v.,形成
agony,n.,極度痛苦
socialism,n.,社會主義
thrifty,adj.,節儉的;茂盛的
but,conj.,但是
stray,adj.,流浪的;迷路的;零星的
research,v.,"調查,探究"
close,v.,關上
lament,v.,哀悼;悲痛;痛哭
snack,v.,吃快餐;吃點心
complement,v.,與...相配;補充;補足
restraint,n.,克制;控制;管押
variety,n.,"多樣化,變化"
elaborate,adj.,"煞費苦心的,辛勤的;精心製作的;詳細的"
velvet,adj.,天鵝絨製的;柔軟光滑的
jug,v.,(用罐)煮;燉;監禁
tornado,n.,龍捲風
mix,v.,混合
nothing,n.,沒什麼;無事;無物
pedestrian,adj.,徒步的;步行的;行人的
scene,n.,場面;景色
daily,adj.,每日的
spectator,n.,(尤指體育賽事的)觀眾;旁觀者;目擊者;觀看者
persuade,v.,"說服,勸服"
distinctive,adj.,有特色的;特殊的
ambiguity,n.,意義不明確;模稜兩可的話
decorate,v.,佈置
correspondent,n.,通信者;通訊記者
vocal,adj.,用言語表達的;發音的;聲音的
notable,adj.,值得注意的;顯著的
civilian,n.,"平民,百姓"
relaxation,n.,"緩和,放寬,減輕"
discover,v.,發現
oval,adj.,卵形的;橢圓形的
thus,adv.,"如此,這樣"
less,prep.,差...;扣除;減去
process,n.,"過程,進程"
mingle,v.,交往;使混合;使相混
minority,n.,少數;少數民族;未成年
wax,n.,耳垢;蜂蠟;蠟
skip,n.,省略
brink,n.,邊;邊緣
mind,v.,介意
instance,n.,例子
exact,adj.,"確切的,精確的"
space,n.,太空;空位
editorial,n.,社論
controversy,n.,爭論;爭議
anyway,adv.,不管怎樣
monster,n.,怪物
dull,v.,使不活躍;削弱;弄鈍;減少;減輕;遲鈍
radius,n.,半徑
cave,n.,"洞穴,洞窟"
squat,adj.,矮胖的;蹲著的
qualification,n.,"資格,能力"
landlord,n.,房東
via,prep.,取道;憑藉;經由
trespass,v.,侵入;擅自進入
anticipation,n.,預期
embassy,n.,大使館
facilitate,v.,使容易;促進;加快;幫助
which,adj.,"哪一個,哪一些;這個,這些"
piano,n.,鋼琴
table tennis,n.,乒乓球
check-in,n.,報到;辦理投宿(或登機)手續
fraud,n.,假貨;詭計;騙子
humankind,n.,人類
single,adj.,單一的;獨身的
shatter,v.,砸碎;粉碎
dresser,n.,衣櫃
comparable,adj.,可比較的;比得上的
gloom,v.,感到沮喪;變陰暗
pull,v.,拉
discount,n.,折扣
earnest,n.,"認真,誠摯"
court,n.,法庭；(網球等的)場地
portion,v.,分配
gospel,n.,基督教教義;福音書
park,v.,停放車輛;放置
wisdom,n.,"名言;智慧,才智"
criterion,n.,(判斷、批評的)標準;尺度
poll,n.,"投票,選舉;民意測驗"
prevail,v.,優勝;勝過;占優勢;戰勝;流行;盛行
pluck,v.,扯;拔...的毛;採
nowadays,adv.,"現今,時下"
corrupt,v.,使墮落;使腐敗;賄賂
mute,adj.,啞的;沈默的
cripple,v.,使成跛子;使殘廢
utter,adj.,十足的;徹底的;絕對的
government,n.,政府
jade,n.,玉;玉製品;綠玉色
mumble,n.,含糊的話;咕噥
yield,n.,利潤;產量
adjust,v.,校準;調整;適應
initiative,n.,主動(權);主動權;倡議;率先;進取心
faint,adj.,暗淡的;頭暈的
disappoint,v.,使失望
steel,v.,給...包上鋼;鋼化
champagne,n.,香檳酒;香檳酒色
snake,v.,蛇行
year,n.,年
rage,v.,"發怒,怒斥"
bullet,n.,子彈
wonder,n.,奇觀;驚奇
editor,n.,校訂者;編者
specimen,n.,標本;樣品
segment,v.,分割;切成片
excel,v.,勝過;突出
vase,n.,花瓶
twelve,n.,十二
drink,v.,喝
fireman,n.,消防隊員
betray,v.,出賣;背叛
irritation,n.,惱怒;激怒
excitement,n.,"刺激;興奮,激動"
cart,n.,手推車
gasp,v.,倒抽一口氣;喘氣
first,adv.,"先,首先;第一;首次"
veto,n.,否決;否決權
fighter,n.,"戰士,鬥士"
coastline,n.,海岸線
expert,adj.,"專家的;熟練的,老練的"
pessimism,n.,悲觀;悲觀主義
theater,n.,劇院;戲院
plow,n.,犁;除雪機
disturbance,n.,打擾;擾亂;紛亂;騷動
high,adj.,高的
robbery,n.,搶劫;搶劫案;盜取
thrust,n.,刺;猛推;驅動力
sanction,n.,國際制裁
leisurely,adj.,"從容不迫的,悠閒的"
chicken,n.,雞;雞肉
seventy,adj.,七十的
bench,n.,長凳;長椅
cocoon,n.,繭
female,n.,雌性動物
disastrous,adj.,悲慘的;災害的
execute,v.,執行;實施;處死
chill,n.,"寒冷,寒氣"
motion,n.,(會議中的)動議;移動;運動
incentive,n.,動機;鼓勵
vaccine,n.,疫苗
relevant,adj.,切題的;有關的
obstinate,adj.,倔強的;固執的;頑固的;頑強的
bog,v.,動彈不得;陷入泥沼
peninsula,n.,半島
shred,v.,切成條狀;用碎紙機撕毀(文件)
war,n.,戰爭
regardless,adv.,無論如何
missionary,adj.,傳教士的;傳教的;傳道的;教會的
mechanical,adj.,機械的
stumble,v.,絆倒;絆腳;踉蹌
ape,v.,模仿
moan,v.,呻吟;嗚咽;悲歎
massive,adj.,厚實的;大量的;粗大的
where,n.,"哪裡,何處;地點"
regime,n.,政權;政體
fragment,v.,(使)成碎片;使成碎片
sprint,n.,全速疾跑;短距離賽跑
encouragement,n.,促進;獎勵;鼓勵
early,adj.,提早的;早的
advice,n.,忠告
dam,v.,"築壩於,築壩攔(水)"
utter,v.,發出(聲音等);說;講
nowhere,adv.,任何地方都不
prediction,n.,預報;預言
ambush,v.,伏擊;埋伏下
manifest,adj.,明白的;明顯的;清楚的;顯然的
packet,n.,小包(裹);小捆;小袋
negotiation,n.,"談判,協商"
purple,n.,紫色
convict,n.,(服刑的)囚犯
blast,v.,吹奏;嚴厲批評;炸開
anchorwoman,n.,女主播
lean,adj.,精瘦的;貧乏的
market,n.,市場
blind,v.,"使失去理智;使看不見,使失明"
imagination,n.,創造力;想像力
help,n.,"幫助;幫手,助手"
national,adj.,國家的
pencil,n.,鉛筆
linguist,n.,語言學者;通曉數種外語的人
migrant,n.,候鳥;移民
meantime,n.,"其時,其間"
depart,v.,"起程,出發;離開,離去"
civic,adj.,城市的;市民的
stability,n.,安定;穩定;穩定性
bracelet,n.,手鐲;臂鐲
devotion,n.,奉獻
prior,adv.,在前;居先
peddle,v.,挨戶兜售;沿街叫賣
accurate,adj.,準確的
symbolize,v.,"象徵,標誌"
approximate,adj.,大概的;近似的
hunch,v.,彎成弓狀;隆起
companion,n.,"同伴,伴侶"
surplus,adj.,剩餘的;過剩的
orange,n.,柳橙;橙色
comprehensive,adj.,廣泛的;綜合的
alligator,n.,短吻鱷
relic,n.,遺物;遺跡;遺風
tonight,adv.,今夜;今晚
channel,n.,管道;頻道
comparative,adj.,比較的;相對的
rumble,n.,轆轆聲;隆隆聲
garbage,n.,垃圾
divide,v.,分開;除以
refund,n.,償還;退款
plus,n.,正號
ban,n.,禁令;禁止
disappear,v.,消失
nickname,v.,給...起綽號
picture,n.,圖畫;照片
equation,n.,方程式;相等;等式
binoculars,n.,雙筒望遠鏡
kiss,n.,吻
tick,v.,發滴答聲;責備
ever,adv.,從來;曾經
naive,adj.,天真的;幼稚的;輕信的
roam,n.,流浪;漫步;漫遊
commuter,n.,通勤者
twig,n.,嫩枝;細枝
noodle,n.,麵
following,n.,一批追隨者;下列事物(或人員)
lest,conj.,免得;惟恐;擔心
kingdom,n.,王國
comic,adj.,滑稽的
armor,v.,提供防禦;穿盔甲(或加裝甲)
expensive,adj.,貴的
gust,n.,一陣強風
surprise,v.,使驚奇
literate,n.,能讀寫的人
consumption,n.,消耗;消耗量;消費;用盡;食用
peach,n.,桃子
ambition,n.,野心
delivery,n.,"投遞,傳送"
well,adv.,充分地;很好地
endeavor,n.,努力;盡力
articulate,v.,清晰地講話;相互連貫
sustain,v.,承受;支撐
survivor,n.,"倖存者,生還者"
consent,n.,准許;同意;贊成
wine,v.,喝酒
condemn,v.,判刑;譴責;責備
curb,n.,人行道旁的水泥(或石)邊;抑制
wade,v.,涉水而行;艱難地前進
begin,v.,開始
yet,conj.,然而
as,conj.,依照;當...時
span,n.,一段時間;礅距;跨度
hospitalize,v.,住院治療
ivy,n.,常春藤
bully,n.,恃強欺弱者;惡霸
leak,n.,"(水,瓦斯等的)漏出;漏電"
prospective,adj.,未來的;盼望中的;預期的
recipe,n.,食譜
graze,v.,吃草;擦傷;放牧
shell,n.,"殼,果殼;貝殼"
foreigner,n.,外國人
catalog,v.,將...編入目錄
agent,n.,代理人;代理商
cleaner,n.,乾洗店;吸塵器;清潔劑;清潔工
buckle,v.,垮掉;扣住;讓步
sorrowful,adj.,令人傷心的;悲傷的
surplus,n.,剩餘;剩餘物;盈餘;過剩
sober,v.,使清醒;使醒酒;變得嚴肅
miss,n.,少女
outsider,n.,外人;局外人;門外漢
curve,n.,曲線
lead,v.,引導
beard,n.,鬍子
robe,n.,"學士服;長袍,浴衣,睡袍"
gasoline,n.,汽油
north,n.,北方
tape,v.,用帶子捆紮;用錄音帶為...錄音(或影)
ruler,n.,尺;統治者
premier,adj.,最早的;首位的
home,n.,家
spiral,n.,盤旋;螺旋(形)
oppression,n.,壓制;壓迫
swallow,v.,吞嚥
gorgeous,adj.,極好的;燦爛的;華麗的
enemy,n.,敵人
confess,v.,"坦白,供認,承認"
shrug,n.,聳肩
abbreviate,v.,簡略;縮寫;縮短
whisper,v.,"低語,耳語;咬耳朵;耳語"
exploit,n.,"功績,功勳;英勇的行為"
projection,n.,投射;投影;規劃;預測
legislator,n.,國會議員;立法委員
answer,v.,回答
reptile,n.,爬蟲類;爬行動物
cave,v.,"塌落,倒坍"
bakery,n.,麵包店
trace,v.,描繪;追蹤
nose,n.,鼻子
persistence,n.,固執;堅持;持續
clam,n.,守口如瓶的人;蚌;蛤
prospect,n.,前景;前途;展望;盼望的事物;視野;預期
single,n.,一壘安打;單的
growl,v.,(人)咆哮;(狗等)嗥叫
senator,n.,參議員
minimal,adj.,最小的;極微的
troop,v.,"群集,集合"
course,n.,科目;課程
breadth,n.,寬宏;寬度;幅度
initial,n.,(字的)起首字母
dissuade,v.,勸阻
gust,v.,吹強風
unanimous,adj.,全體一致的
awful,adj.,可怕的
trek,n.,(長途而辛苦的)旅行或移居
rehearsal,n.,"排練,試演;練習"
batter,n.,打擊手;糊狀物
belt,n.,腰帶
cook,v.,煮
classification,n.,分級;分類
hardship,n.,"艱難,困苦"
corridor,n.,"迴廊,通道"
cake,n.,蛋糕
peasant,n.,農夫
emphatic,adj.,強調的;著重的
olive,n.,橄欖;橄欖色
attendant,adj.,伴隨的;侍候的;出席的
soak,v.,使濕透;浸泡
strait,n.,困境(多用複數形);海峽
mustard,n.,芥末;芥末色;芥菜
outing,n.,遠足;郊遊
notify,v.,公佈;通知
shortsighted,adj.,"目光短淺的,缺乏遠見的;近視的"
exploit,v.,"開發,開採,開拓"
wrestle,n.,搏鬥;摔角;角力
mob,n.,"暴民;暴民,烏合之眾;烏合之眾"
lift,n.,"提,吊,升;鼓舞"
compatible,adj.,可並立的;相容的;能共處的
capsule,n.,太空艙;小盒;膠囊
economy,n.,"節省;節約;節約,節省;經濟情況;經濟體制"
mouthpiece,n.,代言人;樂器的吹口;電話的送話口
brotherhood,n.,兄弟關係;同志關係
OK,adj.,好吧
railroad,n.,鐵路
election,n.,選舉
incentive,adj.,"刺激的;鼓勵的,獎勵的"
tournament,n.,比賽;競爭;競賽;錦標賽
burglar,n.,"夜賊,破門盜竊者"
haste,n.,急忙;性急;慌忙
stroll,n.,散步;閒逛
synthetic,adj.,人造的;合成的;綜合(性)的
vigorous,adj.,精力充沛的
grip,v.,(咬或夾)牢;掌握;握牢
discard,v.,"拋棄,摒棄,丟棄"
greenhouse,n.,"溫室,暖房"
simmer,n.,即將沸騰(或爆發)的狀態
mask,n.,面具
pessimistic,adj.,悲觀的
adult,adj.,成年的;成熟的;色情的
spike,v.,用大釘釘牢;用尖物刺穿
snort,n.,噴氣聲;噴鼻息
respectable,adj.,值得尊敬的;體面的
diabetes,n.,糖尿病
mode,n.,型;方式;模式
refer,v.,"參考;論及,談到"
jazz,v.,使活潑;奏爵士樂;遊蕩
prosperity,n.,"興旺,繁榮,昌盛,成功"
assessment,n.,估價;評價
grill,n.,烤架;燒烤的肉類食物
awesome,adj.,令人敬畏的;非凡的
stagger,n.,搖晃;蹣跚
resident,n.,住院醫生;定居者;居民
prohibit,v.,妨礙;禁止
objective,adj.,受格的;客觀的
tan,adj.,棕褐色的;鞣革的
suit,v.,彼此協調;相稱;適合
jeer,n.,嘲笑;奚落人的話
secure,adj.,安全的牢固的
ulcer,n.,潰瘍
oatmeal,n.,燕麥片;燕麥粥
fascination,n.,迷戀;陶醉
excessive,adj.,極度的;過多的;過度的
dynamite,n.,具有爆炸性的事;炸藥
prune,v.,修剪;修整;修枝
math,n.,數學
meanwhile,n.,"其時,其間"
publish,v.,出版;刊載;發行
princess,n.,公主
widow,n.,寡婦
advantage,n.,"優點,優勢;利益"
vet,n.,獸醫;老兵
throng,v.,擠滿;湧入
dramatic,adj.,引人注目的;戲劇性的
precede,v.,(地位等)高於;先於...;處在...之前
designate,adj.,指定的
place,v.,"任命;放置,安置"
resistant,adj.,抵抗的
cork,n.,軟木;軟木塞
cosmopolitan,adj.,世界性的;國際性的
reward,n.,報償;報答;獎賞
concise,adj.,簡明的;簡潔的
counsel,v.,忠告;提議
joke,v.,開玩笑
pilgrim,n.,"香客,朝聖者"
electricity,n.,電;電流
August,n.,八月
believable,adj.,可信的
left,adj.,左邊的
speed,n.,速度
worm,v.,潛行;蠕動;鑽入
couple,v.,交配;成婚;結合;連接
ski,v.,滑雪
latest,adj.,最新的;最近的;最遲的
influential,adj.,有影響力的;有影響的;有權勢的
zip,n.,(子彈的)尖嘯聲;拉鍊;零
ride,n.,兜風;搭乘
amidst,prep.,在...中間;在...之中
overturn,v.,使翻轉;推翻;翻倒
dim,v.,變暗淡;變模糊
barefoot,adv.,赤著腳地
octopus,n.,章魚
red,n.,紅色
tiptoe,adv.,踮著腳
glimpse,v.,"看一眼,瞥見"
resist,v.,"抗拒;抵抗,反抗"
fourteen,n.,十四
graceful,adj.,"優美的,雅緻的"
senior,adj.,四年級生的;年資較深的
display,n.,"展覽,陳列"
ransom,n.,贖金
subway,n.,地鐵
fraction,n.,些微;小部分;斷片;片段;碎片
bold,adj.,大膽的;無畏的
lengthen,v.,"使加長,使延長"
own,v.,擁有
primary,adj.,主要的;初期的;初級的;基本的;首要的
ample,adj.,充裕的;大量的
evergreen,adj.,常綠的;常青的
gloom,n.,暗處;沮喪的氣氛;陰暗
quarrelsome,adj.,喜歡爭吵的
dusty,adj.,滿是灰塵的
attendance,n.,侍候;出席;出席(人數);出席人數;照料;看護
cure,n.,痊癒
surroundings,n.,周圍的事物;周圍的情況
purple,adj.,紫色的
longitude,n.,經度
flaw,v.,使有缺陷;使破裂
perish,v.,暴卒;枯萎;死亡;消滅;滅亡;腐壞
cold,adj.,寒冷的
accessory,adj.,附加的;附屬的
term,v.,"把...稱為,把...叫做"
wages,n.,代價;報償;工資總額
conquest,n.,佔領;克服;征服
bubble,n.,"水泡,氣泡"
inevitable,adj.,不可避免的;必然發生的
handwriting,n.,手寫;書寫
holder,n.,持有者;支托物
provoke,v.,對...挑釁;挑釁;激怒;激起;煽動
low,adv.,"低,向下地;低價地;低聲地"
glitter,n.,(裝飾用)小發光物;光彩;閃光
loser,n.,輸家
October,n.,十月
theory,n.,學說;論說
rein,v.,(用韁繩)勒住;控制;駕馭
banana,n.,香蕉
welcome,adj.,令人愉快的;受歡迎的;被允許的
dwarf,n.,矮子;矮小的動(植)物
difficult,adj.,困難的
spin,n.,旋轉;自旋
up,n.,上升;走運
lizard,n.,蜥蜴
flatter,v.,奉承;諂媚
fist,n.,拳;掌握;支配
indifference,n.,漠不關心;無關緊要
shoplift,v.,冒充顧客在商店內偷竊
overhear,v.,偷聽;無意中聽到
visible,adj.,可看見的
texture,n.,(織物的)結構;紋理;肌理;質地
astray,adv.,迷路;離開正道
hospitable,adj.,(氣候等)宜人的;好客的
remedy,v.,去除(弊病等);糾正;補救
cosmopolitan,n.,世界主義者;四海為家者
penny,n.,一便士硬幣;便士
prone,adj.,俯伏的;有...傾向的
bleach,v.,使脫色;曬得褪色;漂白
violin,n.,小提琴
hairdo,n.,"做頭髮;髮式,髮型"
including,prep.,包括
melancholy,adj.,令人沮喪的;憂鬱的
rubbish,n.,垃圾;廢物
pour,v.,"倒,灌,注"
care,n.,保護;小心;照料;看護;管理;關懷
uniform,n.,制服
invitation,n.,邀請
very,adj.,僅僅;恰好是;正是
tan,n.,曬成的棕褐膚色;棕褐色;鞣料
shortcoming,n.,"缺點,短處"
yacht,n.,快艇;遊艇
sample,n.,樣品
